title;tome;serie;read;author;editor;isbn;release_date;cover_url;created_at\n
L'école des loups solitaires;1;Senseï;true;Jean-François Di Giorgio, Vax;Soleil;B00VEHYITM;2015-04-01 00:00:00 UTC;;2015-07-06 22:59:36 UTC
Le message du martyr;23;XIII;true;Yves Sente, Jigounov;Dargaud;2505060037;2014-11-28 00:00:00 UTC;;2015-09-07 10:12:25 UTC
L'appât;21;XIII;true;Yves Sente, Jean Van Hamme;Dargaud;250501504X;2012-11-29 00:00:00 UTC;;2015-09-07 10:13:52 UTC
Retour à Greenfalls;22;XIII;true;Yves Sente, Jigounov;Dargaud;2505017999;2013-11-21 00:00:00 UTC;;2015-09-07 10:14:53 UTC
Steve Rowland;5;XIII Mystery;true;Richard Guérineau, Fabien Nury;Dargaud;2505013438;2012-10-04 00:00:00 UTC;;2015-09-07 10:18:04 UTC
Le Royaume souterrain;2;Lancaster;true;Christophe Bec, Jean-Jacques Dzialowski;Glénat BD;B00KR9B8G4;2014-06-11 00:00:00 UTC;;2015-09-07 10:20:05 UTC
L'Oligarque;1;Koralovski;true;Gauckler;Le Lombard;B00T324CPK;2015-02-27 00:00:00 UTC;;2015-09-08 20:10:40 UTC
Dans l'Ombre du monde;2;Koralovski;true;Philippe Gauckler;Le Lombard;B013C642SO;2015-08-28 00:00:00 UTC;;2015-09-08 20:11:53 UTC
Le Feu d'Hadès;1;Drones;false;Sylvain Runberg;Le Lombard;B013C641SK;2015-08-21 00:00:00 UTC;;2015-09-08 20:13:15 UTC
Le croque-mort, le clochard et l'assassin;1;Stern;true;Frédéric Maffre;Dargaud;B013BVIT48;2015-08-21 00:00:00 UTC;;2015-09-08 20:14:26 UTC
L'île des Enfants perdus;6;Les mondes de Thorgal;true;Xavier Dorison, Mathieu Mariolle;Le Lombard;280363547X;2015-11-13 00:00:00 UTC;;2015-12-27 15:55:09 UTC
Solo;2;Alpha - premières armes;true;Eric Loutte, Emmanuel Herzet;Le Lombard;2803632365;2015-11-27 00:00:00 UTC;;2015-12-27 15:55:50 UTC
Les Fugitifs;11;Golden city;true;Daniel Pecqueur, Nicolas Malfin;Delcourt;B018MXOIJA;2015-11-25 00:00:00 UTC;;2015-12-27 15:57:10 UTC
Dragon blanc;2;Senseï;true;Jean-François Di Giorgio, Vax;Soleil;B016Q6YWZ0;2015-10-21 00:00:00 UTC;;2015-12-27 15:58:07 UTC
Le cycle du vide 2;10;Okko;true;Hub;Delcourt;B018MXOIJU;2015-11-12 00:00:00 UTC;;2015-12-27 15:58:53 UTC
Felicity Brown;9;XIII Mystery;true;Matz;Dargaud;2505063494;2015-10-09 00:00:00 UTC;;2015-12-27 16:00:22 UTC
20 secondes;20;Largo Winch;true;Philippe Francq, Jean Van Hamme;Dupuis;2800165510;2015-11-20 00:00:00 UTC;;2015-12-27 16:02:00 UTC
La Première peau;1;Le Chant des Runes;true;Sylvain Runberg, Jean-Charles Poupard;Glénat;B019NQS1GQ;2016-01-13 00:00:00 UTC;;2016-12-27 21:45:14 UTC
Ultimatum;8;Arctica;true;Bojan Kovacevic, Daniel Pecqueur;Delcourt;2756071048;2016-11-09 00:00:00 UTC;;2016-12-27 21:46:11 UTC
Kim Nelson;13;Djinn;true;Ana Mirallès, Jean Dufaux;Dargaud;2505063532;2016-10-14 00:00:00 UTC;;2016-12-30 15:57:44 UTC
Tome 3;3;L'étoile du désert;true;Hugues Labiano, Enrico Marini, Maffre, Stephen Desberg;Dargaud;2505065330;2016-09-23 00:00:00 UTC;;2016-12-30 16:03:28 UTC
Livre V;5;Les aigles de rome;true;Enrico Marini;Dargaud;B01MDV86EY;2016-11-04 00:00:00 UTC;;2016-12-30 16:04:18 UTC
Le truck infernal;6;Golden cup;true;Daniel Pecqueur, Alain Henriet;Delcourt;B00X7DSLFS;2015-02-18 00:00:00 UTC;;2017-01-01 17:43:59 UTC
Le feu écarlate;35;Thorgal;true;Xavier Dorison, Grzegorz Rosinski;Le Lombard;2803635488;2016-11-10 00:00:00 UTC;;2017-01-01 17:44:53 UTC
